doc,split,errors,total_ops,cer_proxy
Забите на Ветрот - Томе Арсовски,val,210672,351280,0.599726713732635
sina_pesna,train,15056,32587,0.462024733789548
Pesni,train,11375,25335,0.4489836194987172
Toj,train,5135,27202,0.18877288434673922
itar_pejo,train,20159,119021,0.1693734719083187
Современост 7,test,25481,239217,0.10651834944840877
tajnopis,train,3327,36303,0.09164531856871333
Сите лица на смртта,test,16667,269862,0.06176119646337758
Samecot,train,4472,194991,0.022934391843726122
Провиденија,val,1818,87362,0.02080996314186946
dnevnik_po_mnogu_godini,train,3150,161728,0.019477146814404434
Prezir,train,3682,367679,0.0100141699689131
viktor_kupidon,train,39,113657,0.00034313768619618676
