,Ч,<DEL>,1,Ш,.,н,ц,„,Ц,И,М,ј,В,Н,м,"""", ,3,“,Д,#,E,H,С,О,C,в,П,п,з,Т,с,З,а,Ф,6,д,ч,р,о,е,к,!,0,и,|,Е,г,9,т,у,л,-,ш,б,ф,",",Р,Ѕ,ќ,7,g,2,o,O,Х,;,Г,К,',i,u,p,k,B,s,ж,e,5,_,?,M,a,:,),I,^,А,‘,<,њ,х,ѓ,Ѓ,4,8,Ј,џ,Ќ,Њ,У,Џ,(,Ж,Б,Л,=,J,P,G,/,﻿,*,»,$,«,•,§,},j,”,%,>,й,R,A,T,c,ђ,r,t,&,K,ћ,љ,l,y,x,V,L,N,Y,S,`,f,Љ,~,],w,v,\,n,Q,b,{,€,F,+,h,Z,z,U,X,q,m,d,[,W,ґ,—,’,ё,ѕ,я,™,Ё,®
 ,0.0,0.8484693551479516,0.00025564005879721353,6.391001469930338e-05,0.0010864702498881574,0.006071451396433821,0.0004473701028951237,0.0,0.00012782002939860676,0.0003834600881958203,0.0003834600881958203,0.0008947402057902474,0.0003834600881958203,0.00025564005879721353,0.002172940499776315,0.0,0.04550393046590401,0.0003195500734965169,0.00012782002939860676,0.00025564005879721353,0.00019173004409791015,0.0,0.0,0.0003195500734965169,0.0003834600881958203,0.0,0.0035789608231609894,0.00012782002939860676,0.001981210455678405,0.0010864702498881574,0.0,0.005048891161244967,0.0,0.011503802645874608,0.00012782002939860676,6.391001469930338e-05,0.00396242091135681,0.0006391001469930338,0.004026330926056113,0.00888349204320317,0.00792484182271362,0.0035789608231609894,0.00019173004409791015,0.0003195500734965169,0.007477471719818496,0.0,0.00012782002939860676,0.0017894804115804947,0.00019173004409791015,0.006518821499328945,0.0020451204703777082,0.003195500734965169,0.0032594107496644723,0.0017255703968811914,0.0014699303380839778,0.00025564005879721353,0.003706780852559596,0.00012782002939860676,0.0,0.00012782002939860676,0.0,6.391001469930338e-05,0.00012782002939860676,0.0003195500734965169,0.00025564005879721353,0.0,0.0008308301910909439,0.00012782002939860676,0.00012782002939860676,0.0,0.0,0.0,0.00025564005879721353,0.0,0.00012782002939860676,0.0,0.0005112801175944271,0.0004473701028951237,0.00019173004409791015,0.0,0.00025564005879721353,0.0,0.00012782002939860676,0.0008947402057902474,0.0,6.391001469930338e-05,0.00012782002939860676,6.391001469930338e-05,0.0,0.0,0.00025564005879721353,0.00019173004409791015,0.00019173004409791015,0.0,0.00012782002939860676,0.0,6.391001469930338e-05,0.0,6.391001469930338e-05,0.0,6.391001469930338e-05,0.0,6.391001469930338e-05,0.0,6.391001469930338e-05,0.0,0.0,0.0,6.391001469930338e-05,0.0,6.391001469930338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012782002939860676,0.0,0.0,0.00012782002939860676,0.0,0.0,0.0,0.0,0.00012782002939860676,0.0,0.0,6.391001469930338e-05,6.391001469930338e-05,0.0,0.0,0.00012782002939860676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391001469930338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
!,0.0,0.6190476190476191,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
"""",0.0,0.6304347826086957,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
',0.0,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.32558139534883723,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
),0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*,0.022727272727272728,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
",",0.0,0.5314027830011282,0.0,0.0,0.003008649868371568,0.005641218503196691,0.0011282437006393381,0.0011282437006393381,0.0,0.0011282437006393381,0.0,0.000752162467092892,0.0011282437006393381,0.0,0.0011282437006393381,0.000376081233546446,0.02068446784505453,0.0,0.0,0.0,0.0,0.0,0.0,0.000376081233546446,0.0,0.0,0.004136893569010906,0.000376081233546446,0.0011282437006393381,0.0011282437006393381,0.0,0.00188040616773223,0.0,0.008649868371568259,0.0,0.0,0.000752162467092892,0.0011282437006393381,0.0022564874012786762,0.006393380970289583,0.006017299736743136,0.00188040616773223,0.000752162467092892,0.0,0.006017299736743136,0.0,0.0,0.000376081233546446,0.0,0.007145543437382475,0.001504324934185784,0.001504324934185784,0.0,0.00188040616773223,0.000376081233546446,0.0,0.009778112072207596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3606619029710417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000752162467092892,0.000376081233546446,0.0,0.0,0.000376081233546446,0.0,0.0,0.001504324934185784,0.000752162467092892,0.0,0.000376081233546446,0.000376081233546446,0.0,0.0,0.0,0.000752162467092892,0.0,0.0,0.0,0.0,0.000376081233546446,0.0,0.0,0.0,0.000376081233546446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000376081233546446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-,0.0,0.8796992481203008,0.0010741138560687433,0.0,0.010741138560687433,0.004296455424274973,0.0010741138560687433,0.0010741138560687433,0.0,0.0,0.0,0.0,0.0010741138560687433,0.0,0.00322234156820623,0.0010741138560687433,0.010741138560687433,0.0,0.0021482277121374865,0.0010741138560687433,0.0,0.0,0.00322234156820623,0.00322234156820623,0.0010741138560687433,0.0010741138560687433,0.0010741138560687433,0.0021482277121374865,0.00322234156820623,0.0021482277121374865,0.0,0.0021482277121374865,0.0,0.004296455424274973,0.0,0.0,0.004296455424274973,0.0,0.00322234156820623,0.0021482277121374865,0.00322234156820623,0.0021482277121374865,0.00322234156820623,0.0,0.0,0.00644468313641246,0.0010741138560687433,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322234156820623,0.0010741138560687433,0.0,0.0,0.0010741138560687433,0.0021482277121374865,0.0,0.0,0.0,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0010741138560687433,0.0,0.0010741138560687433,0.0010741138560687433,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0,0.0,0.004296455424274973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0010741138560687433,0.0,0.0,0.0,0.0021482277121374865,0.0,0.0,0.0010741138560687433,0.0,0.0010741138560687433,0.0,0.0,0.0,0.0,0.0021482277121374865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053705692803437165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.,0.0,0.5924092409240924,0.0,0.0,0.0049504950495049506,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0016501650165016502,0.0016501650165016502,0.0,0.0033003300330033004,0.0,0.07590759075907591,0.0,0.0016501650165016502,0.0016501650165016502,0.0,0.0,0.0016501650165016502,0.0016501650165016502,0.0016501650165016502,0.0,0.006600660066006601,0.0016501650165016502,0.0016501650165016502,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0033003300330033004,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0016501650165016502,0.0033003300330033004,0.0,0.0016501650165016502,0.0,0.0,0.0016501650165016502,0.0,0.0016501650165016502,0.0,0.0,0.0033003300330033004,0.0033003300330033004,0.0016501650165016502,0.0,0.013201320132013201,0.0,0.0,0.0,0.0,0.0,0.0016501650165016502,0.0,0.0,0.0,0.0016501650165016502,0.0016501650165016502,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,0.00825082508250825,0.0,0.0,0.20627062706270627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016501650165016502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.0016501650165016502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016501650165016502,0.0,0.0,0.0,0.0,0.0016501650165016502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
