doc,split,errors,ref_total,cer
Pesni,train,4643,16729,0.27754199294638054
sina_pesna,train,4377,19231,0.22760126878477457
Забите на Ветрот - Томе Арсовски,train,59280,261443,0.22674158420764756
Клуч за одредување на рибите и змииорките во Република Македонија,train,949,5032,0.18859300476947535
itar_pejo,train,12395,102852,0.12051297009294909
Toj,train,1834,23678,0.07745586620491596
tajnopis,train,1986,33570,0.059159964253798034
dnevnik_po_mnogu_godini,train,2527,159499,0.01584335951949542
Prezir,train,1580,364946,0.0043294076383903375
viktor_kupidon,train,39,113630,0.0003432192202763355
