doc,generator,real_length_ratio,synthetic_length_ratio,real_split_rate,real_merge_rate,synthetic_split_rate,synthetic_merge_rate,real_substitution_prop,real_deletion_prop,real_insertion_prop,synthetic_substitution_prop,synthetic_deletion_prop,synthetic_insertion_prop
Pesni,random_edit_noise,0.8985899327758649,0.9925397606164945,0.0,0.0012447099825740602,0.057362240289069555,0.06029810298102981,0.06813712066518958,0.4967263312504668,0.43513654808434366,0.13799643016510488,0.4335397144132084,0.42846385542168675
Prezir,random_edit_noise,1.003435570199068,1.016457707833046,0.0009542602057320308,0.0011321731254447824,0.001430201353066898,0.0013016439280721208,0.02960983961336876,0.4833444652174801,0.4870456951691512,0.07837099227113122,0.45582260061817814,0.46580640711069066
Samecot,random_edit_noise,0.9767569086097023,1.000537213096171,0.001054419776228692,0.0016402085408001874,0.00847701977971282,0.007294850354650827,0.10588546908936801,0.45954865709593684,0.43456587381469514,0.14197880166278537,0.4288129076254525,0.4292082907117621
Toj,random_edit_noise,0.9829753032295777,0.9375639339470992,0.0010955302366345311,0.0006573181419807187,0.057053009883198565,0.05076370170709793,0.07960289908033376,0.4743894268834886,0.4460076740361776,0.27432105654761907,0.4025762648809524,0.32310267857142855
dnevnik_po_mnogu_godini,random_edit_noise,1.0005126638888282,1.0157344182901022,0.004936403271718372,0.0074946852592512525,0.0021964007368570214,0.0019129941901657927,0.47399644057741747,0.2537077318568321,0.27229582756575044,0.4156851910325229,0.280770445216293,0.3035443637511841
itar_pejo,random_edit_noise,1.128693039559339,1.0149346827258432,0.001522740933680625,0.0011220196353436186,0.06290652295112432,0.06383571826797993,0.1008962385739496,0.3769357365217219,0.5221680249043286,0.07949122139479263,0.45563407077240853,0.46487470783279883
sina_pesna,random_edit_noise,1.025261758351338,0.9944490609938508,0.0010826416456153013,0.0007217610970768675,0.057852844107940206,0.057076295864880604,0.028076863634021947,0.47943605859220717,0.4924870777737709,0.2065362022522961,0.39944179404796676,0.3940220036997371
tajnopis,random_edit_noise,1.1111198448881203,1.0108473510454332,0.0011635423400129282,0.00038784744667097606,0.014302565614862872,0.012975523444411679,0.015751695992267348,0.454167934558863,0.5300803694488696,0.32070861331704337,0.3336242254996073,0.34566716118334934
viktor_kupidon,random_edit_noise,1.0235472285924452,1.0055125265025313,0.00031357792411414236,0.0002613149367617853,0.004033314127075585,0.003457126394636216,0.6876344086021505,0.051689708141321046,0.2606758832565284,0.12126964885094606,0.437543957960465,0.44118639318858893
Забите на Ветрот - Томе Арсовски,random_edit_noise,0.8611578484989378,1.0128952377527352,0.0005094243504839531,0.0007202206334428302,0.009570987371189188,0.00958627648839556,0.1559480203118423,0.5027031706654487,0.34134880902270903,0.0982193409579889,0.4464492979277545,0.4553313611142566
Провиденија,random_edit_noise,0.9993797085758109,1.011131411557721,0.0015919510952623536,0.0016556291390728477,0.06806316057557621,0.06678976187444288,0.1670785173375847,0.41865284974093264,0.41426863292148264,0.5040286905965622,0.2401889534883721,0.2557823559150657
Сите лица на смртта,random_edit_noise,0.9998682761371246,1.0154190099488107,0.0011915581137029183,0.0019590023225285265,0.0069867072389493915,0.005665438821268418,0.08431344078214995,0.45806108126421763,0.45762547795363245,0.31631759275479815,0.3332572853307477,0.35042512191445413
