regime,bin,bin_lo,bin_hi,n,mean_estimate,mean_input_cer,mean_output_cer,mean_error_reduction,headroom_skip_rate
real_only,0,0.0,0.0,1122,0.0,0.053331,0.053331,0.0,1.0
synthetic_only,0,0.013357,0.064413,470,0.053732,0.050167,0.037656,0.012511,0.0
synthetic_only,1,0.064413,0.074503,471,0.069936,0.06461,0.048451,0.016159,0.0
synthetic_only,2,0.074503,0.082623,470,0.07861,0.084432,0.057967,0.026465,0.0
synthetic_only,3,0.082623,0.088571,470,0.085554,0.091396,0.071627,0.019769,0.0
synthetic_only,4,0.088571,0.095105,470,0.091942,0.12201,0.086198,0.035811,0.0
synthetic_only,5,0.095105,0.10236,471,0.098824,0.111366,0.081545,0.029821,0.0
synthetic_only,6,0.10236,0.110726,470,0.1062,0.117667,0.082375,0.035291,0.0
synthetic_only,7,0.110726,0.123348,470,0.116425,0.111321,0.076531,0.03479,0.0
synthetic_only,8,0.123348,0.144937,471,0.132758,0.133059,0.09535,0.037709,0.0
synthetic_only,9,0.144937,0.23694,469,0.172691,0.162907,0.123269,0.039638,0.0
synthetic_plus_real,0,0.012525,0.049355,583,0.041272,0.048474,0.045227,0.003247,0.0
synthetic_plus_real,1,0.049355,0.060435,582,0.054909,0.046905,0.040742,0.006163,0.0
synthetic_plus_real,2,0.060435,0.069584,582,0.065209,0.05663,0.045897,0.010733,0.0
synthetic_plus_real,3,0.069584,0.077471,583,0.07346,0.078374,0.062374,0.016,0.0
synthetic_plus_real,4,0.077471,0.084052,583,0.080839,0.090459,0.075063,0.015396,0.0
synthetic_plus_real,5,0.084052,0.091248,582,0.087607,0.110435,0.087288,0.023146,0.0
synthetic_plus_real,6,0.091248,0.099036,582,0.095109,0.118585,0.091155,0.02743,0.0
synthetic_plus_real,7,0.099036,0.110872,583,0.104457,0.111051,0.083294,0.027757,0.0
synthetic_plus_real,8,0.110872,0.130978,583,0.120036,0.12515,0.093157,0.031993,0.0
synthetic_plus_real,9,0.130978,0.225406,581,0.157795,0.16334,0.133869,0.029471,0.0
*,0,0.0,0.029357,1164,0.000884,0.054639,0.054639,0.0,0.963918
*,1,0.029357,0.056418,1164,0.046956,0.044822,0.039833,0.004989,0.0
*,2,0.056418,0.069003,1164,0.063283,0.056528,0.044378,0.01215,0.0
*,3,0.069003,0.078114,1164,0.073719,0.076975,0.059357,0.017619,0.0
*,4,0.078114,0.085652,1164,0.082024,0.092741,0.072584,0.020156,0.0
*,5,0.085652,0.093373,1164,0.089432,0.109027,0.084183,0.024844,0.0
*,6,0.093373,0.10179,1164,0.097442,0.115247,0.084802,0.030445,0.0
*,7,0.10179,0.113888,1164,0.107328,0.114506,0.081719,0.032786,0.0
*,8,0.113888,0.13477,1164,0.123018,0.123691,0.091889,0.031803,0.0
*,9,0.13477,0.23694,1163,0.162442,0.161529,0.124251,0.037278,0.0
