model,regime,n,input_cer,cer,cer_reduction_rate,wer,chrf,sentence_accuracy,correction_rate,overcorrection_rate,useful_correction_rate,edited_count,rare_word_corruption_rate,proper_name_corruption_rate,median_ms_per_sentence,p95_ms_per_sentence,n_params,hybrid_lambda_class,hybrid_lambda_neural,hybrid_margin
identity,real_only,1122,0.05333,0.05333,0.0,0.16668,0.91216,0.0,0.0,0.0,0.0,0,0.31795,0.24577,,,,,,
identity,synthetic_only,4693,0.1049,0.1049,0.0,0.47133,0.75953,0.0,0.0,0.0,0.0,0,0.67178,0.45305,,,,,,
identity,synthetic_plus_real,5815,0.09495,0.09495,0.0,0.41255,0.78898,0.0,0.0,0.0,0.0,0,0.58342,0.40238,,,,,,
classical,real_only,1122,0.05333,0.0533,0.00051,0.1665,0.91224,0.00089,0.00089,0.0,1.0,1,0.31778,0.24529,311.19611801113933,1073.709515039809,,,,
classical,synthetic_only,4693,0.1049,0.10465,0.00243,0.46838,0.76128,0.00661,0.02024,0.30526,0.69474,95,0.67205,0.45135,491.4576930459589,1839.5343550946563,,,,
classical,synthetic_plus_real,5815,0.09495,0.09473,0.00239,0.41004,0.79045,0.0055,0.01651,0.29167,0.70833,96,0.58349,0.40099,462.9803569987416,1713.1397059420124,,,,
neural,real_only,1122,0.05333,0.05333,0.0,0.16668,0.91216,0.0,0.0,0.0,0.0,0,0.31795,0.24577,0.07799888953741174,0.20422695160959847,299637760,,,
neural,synthetic_only,4693,0.1049,0.07609,0.27463,0.32749,0.81861,0.08481,0.76156,0.18663,0.81337,3574,0.51254,0.35677,65.81454249862873,228.9161988428532,299637760,,,
neural,synthetic_plus_real,5815,0.09495,0.0758,0.20168,0.32205,0.82664,0.07997,0.59518,0.16151,0.83849,3461,0.4877,0.35065,69.029414358738,276.5245701721142,299637760,,,
hybrid,real_only,1122,0.05333,0.0533,0.00054,0.16649,0.91227,0.00357,0.00802,0.33333,0.66667,9,0.31846,0.24577,339.87739495933056,1381.4341389806941,299637760,,,
hybrid,synthetic_only,4693,0.1049,0.09927,0.05368,0.43954,0.77818,0.026,0.34967,0.34979,0.65021,1641,0.66652,0.42955,986.1848829314113,3386.7050310363993,299637760,,,
hybrid,synthetic_plus_real,5815,0.09495,0.09251,0.02574,0.39513,0.79923,0.01548,0.2325,0.43047,0.56953,1352,0.58676,0.38922,712.056900956668,2264.433194999583,299637760,,,
