model,regime,n_seeds,cer_mean,cer_std,wer_mean,wer_std,chrf_mean,sent_acc_mean
identity,real_only,1,0.05333,0.0,0.16668,0.0,0.91216,0.0
identity,synthetic_only,1,0.1049,0.0,0.47133,0.0,0.75953,0.0
identity,synthetic_plus_real,1,0.09495,0.0,0.41255,0.0,0.78898,0.0
classical,real_only,1,0.0533,0.0,0.1665,0.0,0.91224,0.00089
classical,synthetic_only,1,0.10465,0.0,0.46838,0.0,0.76128,0.00661
classical,synthetic_plus_real,1,0.09473,0.0,0.41004,0.0,0.79045,0.0055
neural,real_only,1,0.05333,0.0,0.16668,0.0,0.91216,0.0
neural,synthetic_only,1,0.07609,0.0,0.32749,0.0,0.81861,0.08481
neural,synthetic_plus_real,1,0.0758,0.0,0.32205,0.0,0.82664,0.07997
hybrid,real_only,1,0.0533,0.0,0.16649,0.0,0.91227,0.00357
hybrid,synthetic_only,1,0.09927,0.0,0.43954,0.0,0.77818,0.026
hybrid,synthetic_plus_real,1,0.09251,0.0,0.39513,0.0,0.79923,0.01548
