regime,system,vs_baseline,n,cer_mean_delta,cer_ci_low,cer_ci_high,cer_p_value,wer_mean_delta,wer_p_value
real_only,classical,identity,1122,-2.7e-05,-8.1e-05,0.0,0.76,-0.000178,0.76
real_only,neural,identity,1122,0.0,0.0,0.0,1.0,0.0,1.0
real_only,neural,classical,1122,2.7e-05,0.0,8.1e-05,0.76,0.000178,0.76
real_only,hybrid,identity,1122,-2.9e-05,-0.0001,3.8e-05,0.398,-0.000192,0.36
real_only,hybrid,classical,1122,-2e-06,-4.4e-05,4.8e-05,0.886,-1.4e-05,0.86
synthetic_only,classical,identity,4693,-0.000254,-0.000657,0.000183,0.198,-0.002952,0.0
synthetic_only,neural,identity,4693,-0.02881,-0.03084,-0.026768,0.0,-0.14384,0.0
synthetic_only,neural,classical,4693,-0.028555,-0.030615,-0.026469,0.0,-0.140889,0.0
synthetic_only,hybrid,identity,4693,-0.005631,-0.0067,-0.004594,0.0,-0.031787,0.0
synthetic_only,hybrid,classical,4693,-0.005377,-0.006518,-0.004253,0.0,-0.028835,0.0
synthetic_plus_real,classical,identity,5815,-0.000227,-0.000561,0.00016,0.228,-0.002506,0.0
synthetic_plus_real,neural,identity,5815,-0.01915,-0.020714,-0.017823,0.0,-0.090499,0.0
synthetic_plus_real,neural,classical,5815,-0.018923,-0.020451,-0.017529,0.0,-0.087993,0.0
synthetic_plus_real,hybrid,identity,5815,-0.002444,-0.003462,-0.001592,0.0,-0.017417,0.0
synthetic_plus_real,hybrid,classical,5815,-0.002217,-0.003189,-0.001311,0.0,-0.014911,0.0
