model,regime,status,seed,primary_seed,val_predictions,test_predictions,val_metrics,efficiency,checkpoint_dir,error
identity,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/identity/real_only__seed42.json,,,
classical,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/real_only,
classical,real_only,success,1337,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/real_only/seed1337,
classical,real_only,success,2024,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/real_only/seed2024,
neural,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/neural/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/neural/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/neural/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/neural/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/neural/real_only,
neural,real_only,success,1337,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/neural/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/neural/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/neural/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/neural/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/neural/real_only/seed1337,
neural,real_only,success,2024,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/neural/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/neural/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/neural/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/neural/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/neural/real_only/seed2024,
hybrid,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/hybrid/real_only,
hybrid,real_only,success,1337,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/real_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/real_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/hybrid/real_only/seed1337,
hybrid,real_only,success,2024,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/real_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/real_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/hybrid/real_only/seed2024,
identity,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/identity/synthetic_only__seed42.json,,,
classical,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/synthetic_only,
classical,synthetic_only,success,1337,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/synthetic_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/synthetic_only__seed1337.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/synthetic_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/synthetic_only__seed1337.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/synthetic_only/seed1337,
classical,synthetic_only,success,2024,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/classical/synthetic_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/classical/synthetic_only__seed2024.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/classical/synthetic_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/classical/synthetic_only__seed2024.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/classical/synthetic_only/seed2024,
neural,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/val/neural/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/predictions/test_blind/neural/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/val_metrics/neural/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/efficiency/neural/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/models/neural/synthetic_only,
