model,regime,n_folds,cer_mean,cer_std,cer_reduction_rate_mean,cer_reduction_rate_std,wer_mean,wer_std,chrf_mean,chrf_std,sentence_accuracy_mean,sentence_accuracy_std,correction_rate_mean,correction_rate_std,overcorrection_rate_mean,overcorrection_rate_std,useful_correction_rate_mean,useful_correction_rate_std
classical,real_only,1,0.0533,0.0,0.00051,0.0,0.1665,0.0,0.91224,0.0,0.00089,0.0,0.00089,0.0,0.0,0.0,1.0,0.0
classical,synthetic_only,1,0.10465,0.0,0.00243,0.0,0.46838,0.0,0.76128,0.0,0.00661,0.0,0.02024,0.0,0.30526,0.0,0.69474,0.0
classical,synthetic_plus_real,1,0.09473,0.0,0.00239,0.0,0.41004,0.0,0.79045,0.0,0.0055,0.0,0.01651,0.0,0.29167,0.0,0.70833,0.0
hybrid,real_only,1,0.0533,0.0,0.00054,0.0,0.16649,0.0,0.91227,0.0,0.00357,0.0,0.00802,0.0,0.33333,0.0,0.66667,0.0
hybrid,synthetic_only,1,0.09927,0.0,0.05368,0.0,0.43954,0.0,0.77818,0.0,0.026,0.0,0.34967,0.0,0.34979,0.0,0.65021,0.0
hybrid,synthetic_plus_real,1,0.09251,0.0,0.02574,0.0,0.39513,0.0,0.79923,0.0,0.01548,0.0,0.2325,0.0,0.43047,0.0,0.56953,0.0
identity,real_only,5,0.113254,0.048138,0.0,0.0,0.243774,0.111647,0.860072,0.080917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identity,synthetic_only,5,0.129714,0.036623,0.0,0.0,0.464546,0.013583,0.768458,0.006038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identity,synthetic_plus_real,5,0.129702,0.03325,0.0,0.0,0.420136,0.024901,0.784868,0.022229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neural,real_only,1,0.05333,0.0,0.0,0.0,0.16668,0.0,0.91216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neural,synthetic_only,1,0.07609,0.0,0.27463,0.0,0.32749,0.0,0.81861,0.0,0.08481,0.0,0.76156,0.0,0.18663,0.0,0.81337,0.0
neural,synthetic_plus_real,1,0.0758,0.0,0.20168,0.0,0.32205,0.0,0.82664,0.0,0.07997,0.0,0.59518,0.0,0.16151,0.0,0.83849,0.0
