model,regime,n,input_cer,cer,cer_reduction_rate,wer,chrf,sentence_accuracy,correction_rate,overcorrection_rate,useful_correction_rate,edited_count,rare_word_corruption_rate,proper_name_corruption_rate,median_ms_per_sentence,p95_ms_per_sentence,n_params,hybrid_lambda_class,hybrid_lambda_neural,hybrid_margin
identity,real_only,1122,0.05333,0.05333,0.0,0.16668,0.91216,0.0,0.0,0.0,0.0,0,0.31795,0.24577,,,,,,
identity,synthetic_only,4693,0.1049,0.1049,0.0,0.47133,0.75953,0.0,0.0,0.0,0.0,0,0.67178,0.45305,,,,,,
identity,synthetic_plus_real,5815,0.09495,0.09495,0.0,0.41255,0.78898,0.0,0.0,0.0,0.0,0,0.58342,0.40238,,,,,,
classical,real_only,1122,0.05333,0.0533,0.00051,0.1665,0.91224,0.00089,0.00089,0.0,1.0,1,0.31778,0.24529,301.657400035765,1039.4071349874139,,,,
classical,synthetic_only,4693,0.1049,0.10465,0.00243,0.46838,0.76128,0.00661,0.02024,0.30526,0.69474,95,0.67205,0.45135,482.6390170492232,1799.5123290456831,,,,
classical,synthetic_plus_real,5815,0.09495,0.09473,0.00239,0.41004,0.79045,0.0055,0.01651,0.29167,0.70833,96,0.58349,0.40099,451.23778900597245,1664.2164209624752,,,,
neural,real_only,1122,0.05333,0.05333,0.0,0.16668,0.91216,0.0,0.0,0.0,0.0,0,0.31795,0.24577,0.07436978103214642,0.19033510943700094,299637760,,,
neural,synthetic_only,4693,0.1049,0.07609,0.27463,0.32749,0.81861,0.08481,0.76156,0.18663,0.81337,3574,0.51254,0.35677,63.76697670293652,227.84070176567184,299637760,,,
neural,synthetic_plus_real,5815,0.09495,0.0758,0.20168,0.32205,0.82664,0.07997,0.59518,0.16151,0.83849,3461,0.4877,0.35065,68.30446681124158,264.11134649970336,299637760,,,
hybrid,real_only,1122,0.05333,0.0533,0.00054,0.16649,0.91227,0.00357,0.00802,0.33333,0.66667,9,0.31846,0.24577,296.10163101460785,1079.9888740293682,299637760,,,
hybrid,synthetic_only,4693,0.1049,0.09927,0.05368,0.43954,0.77818,0.026,0.34967,0.34979,0.65021,1641,0.66652,0.42955,614.3588679842651,1931.3329269643873,299637760,,,
hybrid,synthetic_plus_real,5815,0.09495,0.09251,0.02574,0.39513,0.79923,0.01548,0.2325,0.43047,0.56953,1352,0.58676,0.38922,587.3745249118656,1778.384609031491,299637760,,,
