alignment_band_fraction,below_0_30_ratio,below_0_50_ratio,below_0_70_ratio,book,dropped_pairs_below_min_pair_sim,max_similarity,mean_similarity,median_similarity,min_similarity,n_gt_sentences,n_ocr_sentences,n_pairs,n_unique_shingle_anchors,sentence_count_ratio,split
0.1144,0.0,0.0,0.1768,Pesni,14,1.0,0.8551,0.9091,0.555,278,270,198,5473,0.9712,train
0.1041,0.0,0.0,0.0007,Prezir,5,1.0,0.9974,1.0,0.5507,2813,2836,2804,22489,1.0082,train
0.1,0.0,0.0,0.0021,Samecot,4,1.0,0.9918,1.0,0.5977,4366,4366,4225,20031,1.0,val
0.1124,0.0,0.0,0.031,Toj,5,1.0,0.961,1.0,0.55,322,314,290,9320,0.9752,train
0.1039,0.0,0.0,0.0008,dnevnik_po_mnogu_godini,1,1.0,0.9913,1.0,0.6344,2570,2550,2466,34268,0.9922,train
0.2264,0.0,0.0,0.0448,itar_pejo,31,1.0,0.945,0.9865,0.5509,1452,1819,1363,15390,1.2528,train
0.2175,0.0,0.0,0.0918,sina_pesna,26,1.0,0.8484,0.8714,0.5547,285,352,207,4391,1.2351,train
0.3608,0.0,0.0,0.0269,tajnopis,3,1.0,0.9672,0.9947,0.6021,232,353,223,9096,1.5216,train
0.1025,0.0,0.0,0.0,viktor_kupidon,0,1.0,0.9998,1.0,0.9304,608,611,607,18071,1.0049,train
0.2324,0.0,0.0,0.0918,Забите на Ветрот - Томе Арсовски,158,1.0,0.9012,0.9565,0.5502,4702,3457,2919,25767,0.7352,train
0.1056,0.0,0.0,0.3117,Клуч за одредување на рибите и змииорките во Република Македонија,44,1.0,0.8485,0.9326,0.5532,3379,3341,77,19981,0.9888,train
0.1046,0.0,0.0,0.0027,Провиденија,3,1.0,0.9932,1.0,0.5895,758,765,746,15572,1.0092,val
0.1017,0.0,0.0,0.0182,Сите лица на смртта,19,1.0,0.9776,1.0,0.55,4425,4410,4223,20881,0.9966,test
0.1164,0.0,0.0,0.0281,Современост 7,38,1.0,0.9716,1.0,0.5506,2069,2137,1883,25559,1.0329,test
