model,regime,n_seeds,cer_mean,cer_std,wer_mean,wer_std,chrf_mean,sent_acc_mean
identity,real_only,2,0.05333,0.0,0.16668,0.0,0.91216,0.0
identity,synthetic_only,1,0.1049,0.0,0.47133,0.0,0.75953,0.0
identity,synthetic_plus_real,1,0.09495,0.0,0.41255,0.0,0.78898,0.0
classical,real_only,3,0.0533,0.0,0.1665,0.0,0.91224,0.00089
classical,synthetic_only,3,0.10465,0.0,0.46838,0.0,0.76128,0.00661
classical,synthetic_plus_real,3,0.09473,0.0,0.41004,0.0,0.79045,0.0055
neural,real_only,3,0.05333,0.0,0.16668,0.0,0.91216,0.0
neural,synthetic_only,3,0.07566,0.00032,0.327,0.00055,0.81913,0.08495
neural,synthetic_plus_real,3,0.07578,7e-05,0.32198,0.00101,0.82682,0.07922
hybrid,real_only,3,0.05331,2e-05,0.16656,0.00011,0.91224,0.00297
hybrid,synthetic_only,3,0.09884,0.00031,0.43936,0.00027,0.77839,0.02585
hybrid,synthetic_plus_real,3,0.09195,0.00071,0.3939,0.00101,0.80002,0.0168
