model,regime,subset_domain,n,cer,wer,chrf,sentence_accuracy
identity,real_only,A,1203,0.92132,1.01266,0.78715,0.0
identity,real_only,B,229,0.05782,0.10348,0.94659,0.0
identity,synthetic_only,A,4068,0.06827,0.30233,0.85349,0.0
identity,synthetic_only,B,891,0.09174,0.32532,0.82774,0.0
identity,synthetic_plus_real,A,5271,0.26296,0.46445,0.83835,0.0
identity,synthetic_plus_real,B,1120,0.08481,0.27996,0.85204,0.0
classical,real_only,A,1203,0.92294,1.01868,0.78621,0.00083
classical,real_only,B,229,0.05815,0.10564,0.94589,0.00873
classical,synthetic_only,A,4068,0.06969,0.3048,0.85263,0.00221
classical,synthetic_only,B,891,0.09033,0.32621,0.82815,0.00112
classical,synthetic_plus_real,A,5271,0.26588,0.46964,0.83693,0.00209
classical,synthetic_plus_real,B,1120,0.08507,0.28205,0.85168,0.00268
neural,real_only,A,1203,0.66871,0.78643,0.60924,0.00333
neural,real_only,B,229,0.29023,0.3834,0.71406,0.0
hybrid,real_only,A,1203,0.9338,1.02823,0.78462,0.00083
hybrid,real_only,B,229,0.06591,0.10907,0.944,0.0131
hybrid,synthetic_only,A,4068,0.07131,0.29724,0.85544,0.01401
hybrid,synthetic_only,B,891,0.09458,0.32072,0.83129,0.0101
hybrid,synthetic_plus_real,A,5271,0.272,0.47232,0.83618,0.00797
hybrid,synthetic_plus_real,B,1120,0.09372,0.28053,0.85165,0.00804
