model,regime,n,input_cer,cer,cer_reduction_rate,wer,chrf,sentence_accuracy,correction_rate,overcorrection_rate,rare_word_corruption_rate,proper_name_corruption_rate,median_ms_per_sentence,p95_ms_per_sentence,n_params
identity,real_only,1432,0.78323,0.78323,0.0,0.86727,0.81265,0.0,0.0,0.0,0.69205,0.62112,,,
identity,synthetic_only,4959,0.07249,0.07249,0.0,0.30646,0.84886,0.0,0.0,0.0,0.53148,0.39281,,,
identity,synthetic_plus_real,6391,0.23174,0.23174,0.0,0.43212,0.84075,0.0,0.0,0.0,0.58126,0.45687,,,
classical,real_only,1432,0.78323,0.78465,-0.00181,0.87267,0.81175,0.00209,0.05098,0.0,0.6938,0.62198,360.8329160001631,1732.4304580001808,
classical,synthetic_only,4959,0.07249,0.0734,-0.01256,0.30865,0.84823,0.00202,0.06695,0.0,0.53915,0.39774,347.12512500027515,1318.5390839998945,
classical,synthetic_plus_real,6391,0.23174,0.23419,-0.01058,0.43676,0.83952,0.00219,0.08168,0.0,0.58889,0.46151,259.56191700061026,1465.3042499994626,
<<<<<<<< HEAD:phase4/phase4_output/paper_tables_neural/main_table.csv
neural,real_only,1432,0.78323,0.58918,0.24776,0.71135,0.69294,0.00489,0.68715,0.0,0.74139,0.73728,,,
neural,synthetic_only,4959,0.07249,0.08642,-0.19219,0.23367,0.8591,0.13208,0.85965,0.0,0.3612,0.26157,1144.4307938218117,2469.2242071032524,299637760
neural,synthetic_plus_real,6391,0.23174,0.23426,-0.01086,0.40685,0.79883,0.04475,0.7218,0.0,0.5139,0.43911,1258.9420452713966,2410.010166466236,299637760
========
neural,real_only,1432,0.78323,0.60818,0.2235,0.72198,0.626,0.00279,0.81006,0.0,0.70975,0.64553,,,
hybrid,real_only,1432,0.78323,0.79501,-0.01504,0.88124,0.81011,0.00279,0.15922,0.0,0.69803,0.62938,607.0513390004635,2731.460139155388,299637760
hybrid,synthetic_only,4959,0.07249,0.07549,-0.04143,0.30146,0.8511,0.01331,0.28272,0.0,0.54379,0.39421,706.8870142102242,2384.448617696762,299637760
hybrid,synthetic_plus_real,6391,0.23174,0.24075,-0.0389,0.43871,0.83889,0.00798,0.26944,0.0,0.5985,0.46865,535.7577465474606,2201.096534729004,299637760
>>>>>>>> 0d4429687786a259500443e610980f32ee0fcfad:phase4/phase4_output/paper_tables_hybrid/main_table.csv
